brand,model,model_year,kilometers,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price
Porsche,Panamera 4S,2010,100974.82,Gasoline,400.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,Automatic,Silver,Gray,None reported,Yes,28600
BMW,M440 i xDrive,2021,39106.96,Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Automatic,Gray,Beige,None reported,Yes,49999
Cadillac,Escalade Premium,2010,167371.36,E85 Flex Fuel,403.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,Automatic,Gray,–,None reported,Yes,19500
Volvo,S60 T6 Momentum,2020,74431.98,Gasoline,2.0L I4 16V GDI DOHC,Automatic,White,Charcoal,At least 1 accident or damage reported,Yes,27800
Mazda,CX-9 Touring Plus,2023,3106.03,Gasoline,2.5L I4 16V GDI DOHC Turbo,Automatic,Jet Black Mica,Black,At least 1 accident or damage reported,Yes,40655
Chrysler,Pacifica Hybrid Touring L,2022,98964.75,Hybrid,3.6L V6 24V MPFI DOHC Hybrid,CVT,Bright White Clearcoat,Black,None reported,Unknown,35850
Jeep,Wrangler Unlimited Sport,2020,38688.53,Gasoline,2.0L I4 16V GDI DOHC Turbo,Automatic,Black Clearcoat,Black,None reported,Yes,35273
Toyota,Highlander Base,2001,372692.57,Gasoline,220.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,Beige,Beige,None reported,Yes,4300
Ford,F-150 Lariat,2019,130356.54,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Gray,Black,None reported,Yes,38500
Land,Rover Discovery Sport S R-Dynamic,2022,37928.93,Gasoline,2.0 Liter,Automatic,Firenze Red,Ebony,None reported,Unknown,44998
Mazda,Mazda6 Touring,2020,126655.06,Gasoline,187.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Automatic,White,Black,None reported,Yes,18000
Kia,Optima EX,2015,176351.48,Gasoline,192.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Automatic,Red,Black,At least 1 accident or damage reported,Yes,11900
Lexus,RX 350 Base,2009,286462.52,Gasoline,270.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Gray,Gray,At least 1 accident or damage reported,Yes,4500
Mitsubishi,Outlander Sport 2.4 SE,2016,211134.14,Gasoline,2.4L I4 16V MPFI DOHC,CVT,Black,Black,None reported,Yes,11970
Mercedes-Benz,GLS 450 Base 4MATIC,2017,170590.04,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,White,Black,None reported,Yes,25900
Audi,A3 2.0T Premium,2019,45401.09,Gasoline,184.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Gray,Black,At least 1 accident or damage reported,Yes,27500
Audi,A4 2.0T Premium,2015,147098.5,E85 Flex Fuel,2.0L I4 16V GDI DOHC Turbo Flexible Fuel,Automatic,Silver,Gray,None reported,Unknown,14998
Mercedes-Benz,CLA-Class CLA 250,2016,142587.52,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,At least 1 accident or damage reported,Yes,16800
Kia,K5 EX,2021,17950.58,Gasoline,1.6L I4 16V GDI DOHC Turbo,Automatic,Glacial White Pearl,Black,None reported,Unknown,28998
BMW,X5 eDrive xDrive40e,2018,72565.14,Hybrid,313.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,Automatic,Gray,Black,At least 1 accident or damage reported,Yes,30750
Mercedes-Benz,SLK-Class SLK230 Kompressor,2003,53545.96,Gasoline,192.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,Automatic,Red,Gray,At least 1 accident or damage reported,Yes,11900
Jeep,Wrangler SE,2003,114263.14,Gasoline,150.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Manual,Red,Gray,None reported,Yes,12499
Land,Rover LR4 Lux,2012,227761.84,Gasoline,375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,14490
Jaguar,XKR Base,2007,80467,Gasoline,420.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,Automatic,Black,Beige,At least 1 accident or damage reported,Yes,21900
BMW,M4 Base,2020,46896.17,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Manual,Orange,Orange,None reported,Yes,71995
BMW,M340 i xDrive,2022,14484.06,Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Automatic,White,Red,None reported,Yes,56900
Mercedes-Benz,AMG GLE 53 AMG GLE 53,2021,9004.26,Hybrid,3.0 Liter Turbo,Automatic,designo Diamond White Metallic,Black,None reported,Unknown,83598
RAM,1500 Laramie,2022,54912.29,Gasoline,5.7L V8 16V MPFI OHV,Automatic,Granite Crystal Clearcoat Metallic,Black,None reported,Unknown,48190
BMW,ALPINA B7 Base,2013,59143.24,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,35999
Mercedes-Benz,C-Class C280 4MATIC,2007,79865.11,Gasoline,228.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,White,–,None reported,Yes,12000
Jeep,Compass High Altitude,2017,72420.3,Gasoline,172.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,At least 1 accident or damage reported,Yes,16500
Toyota,Highlander Hybrid XLE,2019,111607.73,Hybrid,306.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,Automatic,Black,Gray,None reported,Yes,36000
BMW,X5 M Base,2022,13368.79,Gasoline,4.4L V8 32V GDI DOHC Twin Turbo,Automatic,Blue Metallic,Sakhir Orange,None reported,Unknown,98900
BMW,M3 Base,2023,6607.95,Gasoline,3.0L I6 24V GDI DOHC Twin Turbo,Manual,Isle of Man Green Metallic,Kyalami Orange,None reported,Yes,84645
BMW,M3 Base,1999,297245.1,Gasoline,240.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,Manual,Blue,Gray,None reported,Yes,36950
Maserati,Quattroporte S Q4 GranLusso,2018,92537.05,Gasoline,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,White,Brown,None reported,Yes,41900
Acura,RDX Advance Package,2021,46670.86,Gasoline,272.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,39650
Mercedes-Benz,GLA-Class GLA 250 4MATIC,2015,99256.04,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Gray,Black,At least 1 accident or damage reported,Yes,19000
Mercedes-Benz,Sprinter 3500XD High Roof,2021,53591.02,Diesel,188.0HP 3.0L V6 Cylinder Engine Diesel Fuel,Automatic,White,Black,None reported,Yes,45000
Cadillac,XTS Luxury,2014,101307.95,Gasoline,304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Automatic,Silver,Gray,At least 1 accident or damage reported,Yes,17498
Chevrolet,Camaro 2LT,2015,91209.34,Gasoline,323.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Automatic,Silver,Black,None reported,Yes,19750
Porsche,Cayenne S,2013,148059.28,Gasoline,400.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,Automatic,Green,Gray,None reported,Yes,23000
Dodge,Magnum R/T,2005,154496.64,Gasoline,340.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Automatic,Gray,Gold,At least 1 accident or damage reported,Yes,12000
INFINITI,Q70 3.7X,2014,53912.89,Gasoline,330.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,23000
Land,Rover Range Rover SV Autobiography Dynamic SWB,2020,26962.88,Gasoline,557.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Automatic,White,White,None reported,Yes,112000
Toyota,Camry Hybrid Base,2007,85695.75,Hybrid,147.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,Automatic,Silver,Gray,At least 1 accident or damage reported,Yes,9250
GMC,Acadia SLT-1,2016,191511.46,Gasoline,281.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Automatic,Gold,Brown,None reported,Yes,12500
Lincoln,Corsair Reserve,2021,47211.6,Gasoline,2.0L I4 16V GDI DOHC Turbo,Automatic,Black,Sandstone,None reported,Unknown,36999
RAM,2500 SLT,2017,138403.24,Diesel,350.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,Automatic,Gray,Gray,At least 1 accident or damage reported,Yes,41000
RAM,3500 Laramie,2014,284853.18,Diesel,385.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,Automatic,Black,–,At least 1 accident or damage reported,Yes,40500
Mercedes-Benz,GL-Class GL 450 4MATIC,2013,150473.29,Gasoline,362.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,At least 1 accident or damage reported,Yes,15900
BMW,M5 Base,2018,76765.52,Gasoline,600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Automatic,Red,White,At least 1 accident or damage reported,Yes,54999
Acura,ILX Premium Package,2022,25942.56,Gasoline,2.4L I4 16V GDI DOHC,Automatic,Gray,Ebony,None reported,Unknown,26599
Buick,Rainier CXL,2005,237520.88,Gasoline,275.0HP 4.2L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,At least 1 accident or damage reported,Yes,2800
Cadillac,Escalade Luxury,2013,153804.62,E85 Flex Fuel,403.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,Automatic,Black,Black,At least 1 accident or damage reported,Yes,22000
Mercedes-Benz,S-Class S 560,2018,73693.29,Gasoline,463.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Automatic,Gray,Gray,None reported,Yes,52000
INFINITI,QX80 Base,2016,96560.4,Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,Automatic,Silver,Beige,At least 1 accident or damage reported,Yes,25950
Buick,Encore Preferred,2019,80467,Gasoline,138.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,Automatic,White,Black,None reported,Yes,18795
Mercedes-Benz,GLS 450 Base 4MATIC,2019,53882.31,Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,Automatic,Black,Almond Beige,None reported,Unknown,43999
Jeep,Liberty Limited,2010,172199.38,Gasoline,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Automatic,Gray,Gray,None reported,Yes,5900
Mercedes-Benz,S-Class S 63 AMG,2011,96560.4,Gasoline,536.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Black,At least 1 accident or damage reported,Yes,37000
Audi,A8 L 3.0T,2016,88513.7,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,White,Brown,None reported,Yes,28000
Mazda,CX-30 2.5 S Select Package,2022,6443.8,Gasoline,186.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,25500
Bentley,Continental GT V8,2022,17657.68,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,Automatic,Red,Black,None reported,Yes,217950
Bentley,Flying Spur V8,2022,44832.99,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,Automatic,–,–,None reported,Yes,197750
Volkswagen,Golf R 4-Door,2016,75870.72,Gasoline,292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Manual,Blue,Black,None reported,Yes,29950
Hyundai,Genesis Coupe 3.8 Grand Touring,2011,266271.74,Gasoline,306.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Automatic,Gray,Black,At least 1 accident or damage reported,Yes,4000
Ford,F-150 XLT,2018,157715.32,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,White,–,At least 1 accident or damage reported,Yes,25500
Hyundai,Tucson Limited,2020,64233.59,Gasoline,2.4L I4 16V GDI DOHC,Automatic,Black Noir Pearl,Beige,None reported,Unknown,22749
Ford,Mustang V6,2013,236880.36,Gasoline,305.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Automatic,Blue,Black,At least 1 accident or damage reported,Yes,12990
BMW,435 i,2014,86260.62,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,Silver,Black,None reported,Yes,25980
Mercedes-Benz,AMG G 63 Base,2020,2816.34,Gasoline,577.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Automatic,Blue,Black,None reported,Yes,199995
Dodge,Challenger SRT Hellcat,2020,4425.69,Gasoline,797.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Automatic,Orange,Black,None reported,Yes,104500
Porsche,Boxster Base,2013,65661.07,Gasoline,265.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel,Automatic,Brown,Beige,None reported,Yes,35500
Porsche,Macan Base,2018,59220.49,Gasoline,2.0L I4 16V GDI DOHC Turbo,Automatic,Volcano Grey Metallic,Black,At least 1 accident or damage reported,Yes,49500
Ford,Mustang GT,2010,140817.25,Gasoline,315.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,Automatic,Red,Black,At least 1 accident or damage reported,Yes,14900
Chevrolet,Suburban LT,2020,149668.62,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,38500
Mercedes-Benz,C-Class C 300 4MATIC,2018,66811.75,Gasoline,2.0L I4 16V GDI DOHC Turbo,Automatic,Black,Black,None reported,Yes,28251
RAM,1500 Classic Warlock,2019,30577.46,E85 Flex Fuel,3.6L V6 24V MPFI DOHC Flexible Fuel,Automatic,Diamond Black,Diesel Gray / Black,At least 1 accident or damage reported,Unknown,33242
Toyota,Sequoia SR5,2023,2476.77,Hybrid,3.4L V6 24V PDI DOHC Twin Turbo Hybrid,Automatic,Green,Boulder,At least 1 accident or damage reported,Yes,76373
BMW,M5 Base,2018,50034.38,Gasoline,600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Automatic,Green,Black,At least 1 accident or damage reported,Yes,68000
Mazda,Mazda3 FWD w/Premium Package,2022,34924.29,Gasoline,2.5L I4 16V,Automatic,Soul Red Crystal Metallic,Black,None reported,Unknown,25099
Nissan,Rogue SL,2016,157274.36,Gasoline,"2.5L I-4 DOHC, variable valve control, regular unleaded, engine",CVT,Gun Metallic,Charcoal,At least 1 accident or damage reported,Unknown,15998
Audi,A7 3.0T Prestige,2015,117481.82,Diesel,240.0HP 3.0L V6 Cylinder Engine Diesel Fuel,Automatic,White,Gray,None reported,Yes,34000
Genesis,G80 3.8,2020,37980.42,Gasoline,311.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Automatic,Blue,Gray,None reported,Yes,31900
Rolls-Royce,Ghost Base,2016,14089.77,Gasoline,563.0HP 6.6L 12 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,166900
BMW,M6 Gran Coupe Base,2019,32991.47,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Automatic,Blue,Black,None reported,Yes,67900
Ford,Mustang V6,2013,93200.1,Gasoline,305.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Manual,Black,Black,At least 1 accident or damage reported,Yes,18750
BMW,650 i,2009,56326.9,Gasoline,360.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,18500
Kia,Telluride EX,2022,23618.67,Gasoline,3.8L V6 24V GDI DOHC,Automatic,Dark Moss,Gray,None reported,Unknown,46787
Lincoln,Navigator Reserve,2022,22128.42,Gasoline,440.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,None reported,Yes,79999
Mercedes-Benz,S-Class S 550 4MATIC,2015,21404.22,Gasoline,449.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,62500
Chevrolet,Suburban LT,2017,188292.78,Gasoline,6.0L 8 Cylinder Engine Gasoline Fuel,Automatic,Blue,Beige,None reported,Yes,27000
Audi,A7 55 Premium,2020,43613.11,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,Automatic,White,Black,None reported,Yes,50000
Ford,Mustang EcoBoost Premium,2017,143797.75,Gasoline,310.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,Automatic,White,Black,At least 1 accident or damage reported,Yes,20989
Chevrolet,Cruze LS,2018,160934,Gasoline,153.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,Automatic,White,Black,At least 1 accident or damage reported,Yes,8500
Land,Rover Range Rover HSE SWB,2020,25749.44,Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Automatic,Silver,Black,None reported,Yes,75500
Land,Rover Defender S,2023,24461.97,Gasoline,296.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,White,Black,None reported,Yes,62999
BMW,650 i,2012,64309.23,Gasoline,400.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Manual,White,Brown,None reported,Yes,38995
Ford,Mustang Base,2008,191511.46,Gasoline,210.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,Automatic,White,Black,At least 1 accident or damage reported,Yes,13500
Kia,K5 GT-Line,2022,17656.07,Gasoline,1.6L I4 16V GDI DOHC Turbo,Automatic,Passion Red,Black,None reported,Unknown,29998
Mazda,Mazda3 i Touring,2014,190706.79,Gasoline,155.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Manual,Silver,Black,At least 1 accident or damage reported,Yes,11500
Kia,Stinger GT1,2021,13338.21,Gasoline,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,45899
Chevrolet,Camaro ZL1,2023,4747.55,Gasoline,650.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Automatic,Red,Gray,None reported,Yes,74500
Mercedes-Benz,AMG G 63 Base,2017,117481.82,Gasoline,563.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Black,At least 1 accident or damage reported,Yes,78000
Ford,Thunderbird Premium,2005,131965.88,Gasoline,280.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,Automatic,Gold,White,None reported,Yes,14900
GMC,Sierra 1500 SLT,2017,79026.64,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Black,None reported,Yes,39750
Kia,Telluride LX,2023,8851.37,Gasoline,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Automatic,Silver,Black,None reported,Yes,40000
Chevrolet,Corvette Base,2005,59062.78,Gasoline,400.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,Manual,Blue,Black,None reported,Yes,26000
BMW,650 i,2014,64373.6,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,None reported,Yes,34000
GMC,Acadia Denali,2015,120481.63,Gasoline,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Automatic,Gray,Beige,None reported,Yes,19780
Cadillac,Escalade Premium Luxury Platinum,2021,24703.37,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,93500
Nissan,GT-R Premium,2010,74190.57,Gasoline,485.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Automatic,Blue,Black,None reported,Yes,72999
Toyota,Highlander XLE,2018,98900.38,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Silver,Gray,None reported,Yes,31000
BMW,X7 xDrive40i,2020,72808.15,Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,Blue,Brown,None reported,Yes,54500
INFINITI,QX60 Base,2018,77248.32,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT,Black,Black,None reported,Yes,27000
Lexus,IS 250C Base,2010,110239.79,Gasoline,204.0HP 2.5L V6 Cylinder Engine Gasoline Fuel,Manual,Black,Beige,None reported,Yes,18500
GMC,Sierra 1500 Denali,2019,69898.46,Gasoline,5.3L V8 16V GDI OHV,Automatic,Onyx Black,Walnut,None reported,Unknown,51899
Chevrolet,SSR Base,2005,197886.06,Gasoline,6.0L V8 16V MPFI OHV,Automatic,Redline Red,Ebony,None reported,Yes,20995
Dodge,Challenger R/T,2014,149444.92,Gasoline,375.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Automatic,Gray,Red,None reported,Yes,19750
Hyundai,Equus Signature,2016,115872.48,Gasoline,429.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,None reported,Yes,21400
Lamborghini,Aventador SVJ Base,2019,11151.12,Gasoline,759.0HP 6.5L 12 Cylinder Engine Gasoline Fuel,Automatic,Blue,Black,None reported,Yes,649999
Ford,Mustang GT,2003,133575.22,Gasoline,260.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,Automatic,Gray,Black,None reported,Yes,10500
Toyota,Sequoia Limited,2023,13196.59,Hybrid,437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid,Automatic,Brown,Black,None reported,Yes,78900
Jeep,Grand Cherokee L Limited,2022,20720.25,Gasoline,3.6L V6 24V MPFI DOHC,Automatic,Diamond Black,Global Black,None reported,Unknown,42599
Maserati,GranTurismo Sport,2015,51498.88,Gasoline,454.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Automatic,Beige,Brown,None reported,Yes,36000
BMW,M5 Base,2013,98403.09,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,At least 1 accident or damage reported,Yes,37500
Mercedes-Benz,C-Class 4MATIC Sedan,2022,15468.98,Gasoline,"2L I-4 gasoline direct injection, DOHC, variable valve control,",Automatic,–,–,None reported,Unknown,43900
Land,Rover Range Rover Sport First Edition,2023,5687.41,Hybrid,4.4 Liter,Automatic,Red,Black,None reported,Unknown,143998
Ford,F-150 Lariat,2011,244619.68,Gasoline,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Brown,Beige,None reported,Yes,14000
Audi,A4 2.0T Premium,2012,208517.36,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,White,Black,None reported,Yes,7000
BMW,540 i xDrive,2019,57936.24,Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,Gray,Black,At least 1 accident or damage reported,Yes,41995
BMW,X6 xDrive35i,2009,148072.15,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,White,Black,None reported,Yes,12500
Ford,Mustang Base,1998,102836.83,Gasoline,150.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Automatic,White,Gray,None reported,Yes,10300
Toyota,Sequoia Limited,2012,242849.41,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Automatic,Black,Gray,None reported,Yes,17500
Land,Rover Range Rover 3.0L Supercharged,2018,61187.11,Gasoline,5.0 Liter,Automatic,White,Espresso,None reported,Unknown,63998
Audi,Q8 55 Premium Plus,2021,23737.76,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,Automatic,Silver,Black,None reported,Yes,61059
Subaru,WRX Base,2015,84490.35,Gasoline,268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Manual,Gray,Black,None reported,Yes,23000
Chevrolet,Suburban LT,2017,334052.31,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,At least 1 accident or damage reported,Yes,21000
INFINITI,QX60 Pure,2020,62764.26,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Gray,Gray,None reported,Yes,29900
INFINITI,QX60 Base,2017,150473.29,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,16000
BMW,M4 Base,2018,11587.25,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,Yes,64000
Maserati,MC20 MC20,2022,1963.39,Gasoline,"Nettuno 3L V-6 port/direct injection, DOHC, variable valve contr",Automatic,–,–,None reported,Unknown,238900
Land,Rover Defender SE,2023,13552.25,Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Automatic,Black,White,None reported,Yes,90000
BMW,M8 Base,2020,41070.36,Gasoline,4.4L V8 32V GDI DOHC Twin Turbo,Automatic,Brands Hatch Gray Metallic,Black,None reported,Unknown,84900
Mercedes-Benz,SL-Class SL 550,2011,66488.27,Gasoline,382.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Automatic,Red,White,At least 1 accident or damage reported,Yes,30999
Land,Rover Range Rover P525 HSE SWB,2020,80304.46,Gasoline,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Black,At least 1 accident or damage reported,Yes,64500
Ford,Escape XLT,2012,299768.54,E85 Flex Fuel,240.0HP 3.0L V6 Cylinder Engine Flex Fuel Capability,Automatic,Blue,Black,None reported,Yes,4500
Lexus,ES 350 Base,2016,82615.47,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Silver,Black,At least 1 accident or damage reported,Yes,25995
Porsche,718 Boxster GTS,2019,16737.14,Gasoline,365.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Automatic,Gray,Black,None reported,Yes,99750
Mercedes-Benz,G-Class G 550,2020,33187.81,Gasoline,4.0 Liter Twin Turbo,Automatic,designo Diamond White Metallic,Black,None reported,Unknown,142998
RAM,1500 Big Horn,2022,31182.57,Gasoline,5.7L V8 16V MPFI OHV,Automatic,Bright White Clearcoat,Black,None reported,Yes,45861
Audi,R8 5.2 V10 performance,2020,19706.37,Gasoline,5.2L V10 40V PDI DOHC,Automatic,Daytona Gray Pearl Effect w/ Black Roof,Black / Express Red,None reported,Unknown,187900
Mitsubishi,Lancer Evolution IX,2006,123919.18,Gasoline,286.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Manual,Silver,Black,None reported,Yes,57000
Acura,TL Technology,2013,64373.6,Gasoline,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Blue,Gray,None reported,Yes,24000
Cadillac,CTS Luxury,2012,181855.42,Gasoline,270.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,None reported,Yes,10000
Chevrolet,Camaro 1SS,2022,12230.98,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Manual,Gray,Black,At least 1 accident or damage reported,Yes,46000
Toyota,Camry Hybrid LE,2022,32830.54,Hybrid,208.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,CVT,White,Gray,None reported,Yes,29900
Ford,Transit-350 XLT,2019,185074.1,Gasoline,310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,White,Gray,None reported,Yes,39000
Lexus,RX 450h Base,2012,384632.26,Hybrid,295.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,Automatic,Black,Black,None reported,Yes,7000
Jaguar,F-TYPE V6 S,2014,100091.29,Gasoline,3.0 Liter SC ULEV,Automatic,Black,Black,None reported,Unknown,32998
Jeep,Wrangler Sahara,2020,35627.57,Gasoline,3.6 Liter,Automatic,Black,Black,None reported,Unknown,38598
Porsche,718 Boxster S,2017,78696.73,Gasoline,350.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Automatic,Blue,Black,None reported,Yes,62500
Audi,R8 5.2,2014,35083.61,Gasoline,525.0HP 5.2L 10 Cylinder Engine Gasoline Fuel,Automatic,White,Black,None reported,Yes,117000
Lincoln,MKZ Base,2016,109756.99,Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Automatic,Silver,Black,At least 1 accident or damage reported,Yes,16750
